행정구역,총인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,남_총인구수,0~9세(남),10~19세(남),20~29세(남),30~39세(남),40~49세(남),50~59세(남),60~69세(남),70~79세(남),80~89세(남),90~99세(남),100세 이상(남),여_총인구수,0~9세(여),10~19세(여),20~29세(여),30~39세(여),40~49세(여),50~59세(여),60~69세(여),70~79세(여),80~89세(여),90~99세(여),100세 이상(여)
전국  (0000000000),"51,845,612","4,224,547","5,029,512","6,820,949","7,156,062","8,407,480","8,680,063","6,136,869","3,559,132","1,587,612","223,678","19,708","25,868,638","2,167,980","2,607,105","3,588,364","3,672,388","4,273,729","4,372,346","3,000,343","1,585,958","544,690","51,025","4,710","25,976,974","2,056,567","2,422,407","3,232,585","3,483,674","4,133,751","4,307,717","3,136,526","1,973,174","1,042,922","172,653","14,998"
서울특별시  (1100000000),"9,751,415","673,846","833,628","1,460,274","1,526,462","1,570,279","1,548,586","1,167,125","675,484","251,161","38,447","6,123","4,759,105","345,888","428,132","717,498","763,229","778,853","758,124","552,469","308,325","94,967","10,044","1,576","4,992,310","327,958","405,496","742,776","763,233","791,426","790,462","614,656","367,159","156,194","28,403","4,547"
부산광역시  (2600000000),"3,425,317","246,721","288,636","440,251","443,803","520,145","589,027","497,879","279,684","103,830","13,598","1,743","1,682,209","126,703","149,610","230,983","226,701","261,279","284,872","236,848","125,588","36,265","2,979",381,"1,743,108","120,018","139,026","209,268","217,102","258,866","304,155","261,031","154,096","67,565","10,619","1,362"
대구광역시  (2700000000),"2,448,666","190,935","242,350","327,382","311,620","396,772","431,466","300,047","168,516","70,561","8,365",652,"1,211,432","97,862","127,197","176,406","160,362","195,810","211,316","143,376","72,765","24,314","1,872",152,"1,237,234","93,073","115,153","150,976","151,258","200,962","220,150","156,671","95,751","46,247","6,493",500
인천광역시  (2800000000),"2,956,828","246,289","286,626","408,897","426,380","490,791","517,899","328,150","168,735","71,207","10,985",869,"1,482,651","126,318","147,817","213,617","219,865","250,219","259,402","162,995","75,907","23,784","2,502",225,"1,474,177","119,971","138,809","195,280","206,515","240,572","258,497","165,155","92,828","47,423","8,483",644
광주광역시  (2900000000),"1,459,486","128,392","167,210","207,822","196,425","245,473","233,310","149,482","89,281","36,602","5,102",387,"722,801","66,146","86,827","108,829","99,414","121,881","115,456","71,204","39,385","12,542","1,072",45,"736,685","62,246","80,383","98,993","97,011","123,592","117,854","78,278","49,896","24,060","4,030",342
대전광역시  (3000000000),"1,481,701","124,743","155,836","214,017","203,813","244,756","244,897","163,790","86,508","37,741","5,270",330,"740,227","64,184","80,832","112,903","105,056","122,159","121,702","79,870","38,967","13,245","1,226",83,"741,474","60,559","75,004","101,114","98,757","122,597","123,195","83,920","47,541","24,496","4,044",247
울산광역시  (3100000000),"1,150,891","106,150","118,294","150,789","162,760","191,694","211,767","130,125","55,718","20,601","2,832",161,"591,161","54,706","62,383","84,248","85,748","96,929","108,356","65,788","26,018","6,496",456,33,"559,730","51,444","55,911","66,541","77,012","94,765","103,411","64,337","29,700","14,105","2,376",128
세종특별자치시  (3600000000),"330,298","46,225","38,732","35,343","60,477","61,992","41,013","25,874","13,085","6,495","1,008",54,"164,832","23,640","19,475","17,895","29,470","32,047","21,261","12,771","5,902","2,147",216,8,"165,466","22,585","19,257","17,448","31,007","29,945","19,752","13,103","7,183","4,348",792,46
경기도  (4100000000),"13,176,011","1,195,759","1,371,159","1,763,053","1,935,950","2,284,579","2,185,776","1,348,872","726,746","314,527","45,775","3,815","6,629,105","612,989","707,187","926,900","992,310","1,160,317","1,109,605","669,061","327,128","111,577","11,031","1,000","6,546,906","582,770","663,972","836,153","943,640","1,124,262","1,076,171","679,811","399,618","202,950","34,744","2,815"
강원도  (4200000000),"1,540,714","110,790","146,194","180,470","172,582","230,063","272,283","215,602","136,641","65,315","10,011",763,"774,779","56,692","76,330","100,880","90,012","118,877","139,081","107,025","60,784","22,505","2,360",233,"765,935","54,098","69,864","79,590","82,570","111,186","133,202","108,577","75,857","42,810","7,651",530
충청북도  (4300000000),"1,599,368","131,186","156,606","200,478","202,116","244,802","274,443","200,897","118,882","61,232","8,185",541,"809,760","66,897","81,719","111,034","106,428","127,009","140,791","100,487","52,849","20,500","1,893",153,"789,608","64,289","74,887","89,444","95,688","117,793","133,652","100,410","66,033","40,732","6,292",388
충청남도  (4400000000),"2,125,349","185,155","210,235","246,282","283,605","329,011","341,829","254,813","165,696","95,170","12,730",823,"1,082,259","94,838","109,218","135,052","151,554","175,570","179,417","126,650","73,683","33,121","2,968",188,"1,043,090","90,317","101,017","111,230","132,051","153,441","162,412","128,163","92,013","62,049","9,762",635
전라북도  (4500000000),"1,825,381","139,740","185,549","215,017","201,989","276,873","305,544","237,667","163,641","86,461","12,112",788,"907,522","71,694","96,109","115,729","103,992","143,441","157,114","117,144","70,907","28,501","2,733",158,"917,859","68,046","89,440","99,288","97,997","133,432","148,430","120,523","92,734","57,960","9,379",630
전라남도  (4600000000),"1,868,856","141,658","177,847","203,576","198,377","267,513","318,986","251,530","191,835","102,993","13,747",794,"936,541","72,368","92,361","111,728","104,336","143,576","169,616","126,018","81,955","31,697","2,767",119,"932,315","69,290","85,486","91,848","94,041","123,937","149,370","125,512","109,880","71,296","10,980",675
경상북도  (4700000000),"2,668,836","203,625","239,287","295,604","312,390","393,679","468,571","374,677","237,352","125,899","16,842",910,"1,343,416","105,201","126,258","166,103","165,799","205,765","240,970","185,449","103,507","40,704","3,474",186,"1,325,420","98,424","113,029","129,501","146,591","187,914","227,601","189,228","133,845","85,195","13,368",724
경상남도  (4800000000),"3,366,286","290,222","338,695","389,639","431,092","545,648","584,312","418,327","236,905","115,613","15,136",697,"1,693,730","149,339","177,637","215,265","224,355","281,078","297,840","207,642","102,299","35,195","2,939",141,"1,672,556","140,883","161,058","174,374","206,737","264,570","286,472","210,685","134,606","80,418","12,197",556
제주특별자치도  (5000000000),"670,209","63,111","72,628","82,055","86,221","113,410","110,354","72,012","44,423","22,204","3,533",258,"337,108","32,515","38,013","43,294","43,757","58,919","57,423","35,546","19,989","7,130",493,29,"333,101","30,596","34,615","38,761","42,464","54,491","52,931","36,466","24,434","15,074","3,040",229
