치유원,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
산림치유원,"[복권기금이야기] 기금투어, 국립산림치유원 숲 체험 캠프",F,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,동두천시,생연1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림치유원,국립산림치유원 마실치유숲길,F,2,무직,100만원 미만,아니오,          ,단독주택,경기,파주시,탄현면,
산림치유원,영주 국립산림치유원에서 제대로 힐링하세요!,F,5,,,      ,          ,,충남,예산군,예산읍,
산림치유원,국립산림치유원에서 치유를 경험하다,F,4,,,      ,          ,,서울,영등포구,여의도동,
산림치유원,이낙연 국무총리 경북 영주시노인복지관 소수서원 국립산림치유원 웰니스 관광,M,4,"사무직 (일반사무직, 공무원, 직업군인)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,연수구,송도동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산림치유원,영주 국립산림치유원 숲 체험 프로그램 등산 힐링캠프,M,3,기타 ,200~299만원,아니오,          ,아파트/ 주상복합,부산,연제구,거제2동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
산림치유원,국립산림치유원 1박2일 팸투어 힐링♥,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",400~499만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경남,진주시,하대동,
산림치유원,영주여행 무섬마을 산림치유원여행,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",400~499만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경남,진주시,하대동,
산림치유원,지덕권 산림치유원 등 4대 국가사업 본격 추진,F,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,서울,동작구,상도3동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림치유원,국립산림치유원 영주 소백산으로 gfa 대가대 치유및 복지원예사과정에서 견학을 다녀왔어요.,M,4,"관리직 (사장, 간부, 고위공무원)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,성남시 분당구,정자동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
산림치유원,해라이트-국립산림치유원,F,5,"주부 (전업주부, 파트타임 근무 주부)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,부천시 소사구,심곡본동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산림치유원,국립 지덕권산림치유원 조성 본격 착수 - 전라북도 주간 소식,M,5,"자영업 (도소매업, 숙박업, 미용업)",500~599만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,부산,금정구,남산동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
산림치유원,국립 산림 치유원 데크로드,M,2,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,아니오,          ,아파트/ 주상복합,서울,관악구,은천동,
산림치유원,국립산림치유원에서 건강치유체험하기,F,3,,,      ,          ,,서울,금천구,독산1동,
산림치유원,국립산림치유원,M,4,,,      ,          ,,서울,용산구,이촌1동,
산림치유원,"영주 국립산림치유원,홍천 힐리언스 선마을~나의 웰니스 라이프, 나의 웰니스 여행, My Wellness Life",F,4,,,      ,          ,,대구,달서구,상인동,
산림치유원,"국립산림치유원 고도원 원장님과의 만남, 한국산림복지진흥원 블로그기자단 팸투어 #1",F,5,,,      ,          ,,대전,동구,가오동,
산림치유원,국립산림치유원 따라 서원 여행,M,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,아니오,          ,아파트/ 주상복합,경기,수원시 장안구,이목동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산림치유원,해라이트-국립산림치유원,F,2,"학생 (초중고학생, 대학생, 대학원생)",300~399만원,아니오,          ,연립주택/ 다세대/ 빌라,대구,달서구,진천동,
산림치유원,경북 영주 가볼만한곳 국립산림치유원 먹었던 밥 네 끼 / 두 그릇은 기본,F,5,,,      ,          ,,충남,예산군,예산읍,
산림치유원,20180908 영주 국립산림치유원의 야생화,F,3,"교직 (교사, 유치원교사, 학원강사)",200~299만원,아니오,          ,아파트/ 주상복합,경기,수원시 영통구,영통1동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
산림치유원,국립산림치유원에서 맞이한 행복한 추석 연휴,F,3,기타 ,900~999만원,아니오,          ,단독주택,대구,남구,대명3동,
산림치유원,영주 국립산림치유원,F,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,서울,동작구,상도3동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림치유원,<국립산림치유원 제1차 산림치유 콜로키움 후기> : 풍기역에서 산림치유원 걸어가기,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",500~599만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,의정부시,호원2동,
산림치유원,이낙연 국무총리 경북 영주시노인복지관 소수서원 국립산림치유원 웰니스 관광,M,4,"관리직 (사장, 간부, 고위공무원)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,성남시 분당구,정자동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
산림치유원,영주 이야기 6. 산림치유원 다스림 데크로드,F,2,무직,900~999만원,예    ,자녀 없음 ,단독주택,전북,익산시,동산동,
산림치유원,영주 국립산림치유원에서 제대로 힐링하세요!,F,4,"전문직 (의사, 판검사, 예술가, 종교인)","1,000만원 이상",예    ,자녀 있음 ,단독주택,서울,마포구,도화동,
산림치유원,영주여행 산림치유원에서의하룻밤,F,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,인천,서구,검암동,
산림치유원,"국립산림치유원, 다스림 데크로드 유아숲체험 현장",F,4,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,충북,충주시,지현동,
산림치유원,"국립산림치유원, 웰니스관광 2회 연속선정",F,2,"학생 (초중고학생, 대학생, 대학원생)",100만원 미만,아니오,          ,아파트/ 주상복합,인천,부평구,삼산2동,
산림치유원,국립산림치유원 마실치유숲길(다스림 데크로드),F,3,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,용인시 처인구,마평동,
치유의숲,치유의 숲 - Daum 검색,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
치유의숲,강원 국립대관령치유의숲 !,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
치유의숲,국립 양평 치유의 숲 - Daum 검색,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
양평치유의숲,워크샵 국립양평치유의숲에서 진짜 치유되더라는~ : 네이버 블로그,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
치유의숲,국립 양평치유의 숲 : 네이버 카페,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
양평치유의숲,"산림치유 프로그램,국립 양평치유의 숲 : 네이버 카페",M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
치유의숲,산림치유 힐링프로그램/양평치유의숲 : 네이버 카페,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
양평치유의숲,워크샵 국립양평치유의숲에서 진짜 치유되더라는~ : 네이버 블로그,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
치유의숲,워크샵 국립양평치유의숲에서 진짜 치유되더라는~ : 네이버 블로그,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
양평치유의숲,워크샵 국립양평치유의숲에서 진짜 치유되더라는~ : 네이버 블로그,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
치유의숲,워크샵 국립양평치유의숲에서 진짜 치유되더라는~ : 네이버 블로그,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
양평치유의숲,워크샵 국립양평치유의숲에서 진짜 치유되더라는~ : 네이버 블로그,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
치유의숲,워크샵 국립양평치유의숲에서 진짜 치유되더라는~ : 네이버 블로그,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
양평치유의숲,국립양평치유의숲 - Daum 백과,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
숲체원,국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
횡성숲체원,[모집] 국립횡성숲체원 프로그램안내,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
숲체원,공지사항 | 열린 공간 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
횡성숲체원,새소식 | 열린 공간 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
숲체원,새소식 | 열린 공간 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
횡성숲체원,국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
숲체원,숙박시설 | 시설/이용안내 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
횡성숲체원,이용요금안내 | 예약 및 상담 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
숲체원,찾아오시는 길 | 숲체원소개 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
횡성숲체원,숲체원 안내도 | 시설/이용안내 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
숲체원,자주하는 질문 | 고객센터 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
횡성숲체원,새소식 | 열린 공간 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
숲체원,새소식 | 열린 공간 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
횡성숲체원,새소식 | 열린 공간 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
숲체원,새소식 | 열린 공간 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
치유의숲,치유의 숲 - Daum 검색,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
치유의숲,횡성 치유의 숲 - Daum 검색,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
치유의숲,치유의 숲 국립횡성숲체원 : 네이버 블로그,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
치유의숲,치유의 숲- 산음자연휴양림(경기도 양평) : 네이버 블로그,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
치유의숲,치유의 숲- 산음자연휴양림(경기도 양평) : 네이버 블로그,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
치유의숲,치유의 숲- 산음자연휴양림(경기도 양평) : 네이버 블로그,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
치유의숲,치유의 숲- 산음자연휴양림(경기도 양평) : 네이버 블로그,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
치유의숲,횡성 치유의 숲 - Daum 검색,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
숲체원,국립횡성 숲체원 - Daum 검색,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
횡성숲체원,국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
숲체원,산림치유란? | 산림치유 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
횡성숲체원,이용요금안내 | 예약 및 상담 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
숲체원,자주하는 질문 | 고객센터 | 국립횡성숲체원,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,단독주택,강원,횡성군,서원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산림치유원,국립 지덕권산림치유원 조성 본격 착수 - 전라북도 주간 소식,M,2,"서비스직 (요식업, 숙박업, 미용실종업원)",200~299만원,아니오,          ,단독주택,서울,관악구,삼성동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림치유원,경북영주 가볼만한곳 국립산림치유원 이용후기,M,3,,,      ,          ,,전남,여수시,오림동,
산림치유원,조달청 나라장터 여행상품 영주 국립산림치유원(2018 가을여행주간),M,5,,,      ,          ,,대전,서구,갈마1동,
산림치유원,#송현초 #가족캠프 #영주산림치유원,F,5,,,      ,          ,,대전,동구,가오동,
산림치유원,국립 산림 치유원 데크로드,M,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,아니오,          ,아파트/ 주상복합,경기,수원시 장안구,이목동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산림치유원,"국립산림치유원, 웰니스관광 2회 연속선정",F,4,,,      ,          ,,서울,영등포구,여의도동,
산림치유원,영주 국립산림치유원 숲 체험 프로그램 등산 힐링캠프,M,4,"생산/노무직 (생산감독, 경비원, 공장근로자)",400~499만원,아니오,          ,단독주택,강원,태백시,통동,
산림치유원,지리산 덕유산 산림치유원 조성 MOU(업무협약)체결,M,3,,,      ,          ,,부산,기장군,정관면,
산림치유원,국립산림치유원 마실치유숲길(다스림 데크로드),F,4,,,      ,          ,,충남,천안시 서북구,두정동,
산림치유원,[181206] 국립산림치유원(#다스림),F,3,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 없음 ,아파트/ 주상복합,서울,구로구,신도림동,
산림치유원,국립산림치유원_문필마을 주변,M,5,기타 ,100~199만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,부천시 오정구,원종동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림치유원,영주여행 무섬마을 산림치유원여행,M,2,"학생 (초중고학생, 대학생, 대학원생)",300~399만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,성북구,삼선동3가,
산림치유원,영주여행 무섬마을 산림치유원여행,F,5,"주부 (전업주부, 파트타임 근무 주부)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,부천시 소사구,심곡본동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산림치유원,"[웰니스관광서포터즈] 힐링과 치유의 중심지, 국립산림치유원 프로그램 안내 (2) : 데크로드 / 주치마을",F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,충북,청주시 흥덕구,수곡2동,"경차 (모닝, 스파크 등)"
산림치유원,#송현초 #가족캠프 #영주산림치유원,F,3,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강남구,수서동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
산림치유원,국립산림치유원 1박2일 팸투어 힐링♥,F,2,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,아니오,          ,아파트/ 주상복합,경기,성남시 분당구,삼평동,
산림치유원,국립 지덕권산림치유원 조상 본격 착수 - 전라북도 주간 소식,F,2,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,아니오,          ,아파트/ 주상복합,경기,성남시 분당구,삼평동,
산림치유원,[영주가볼만한곳] 영주 국립산림치유원,F,3,무직,100만원 미만,아니오,          ,연립주택/ 다세대/ 빌라,서울,관악구,난곡동,
산림치유원,"국립산림치유원 고도원 원장님과의 만남, 한국산림복지진흥원 블로그기자단 팸투어 #1",F,3,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,부평구,산곡2동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
치유의숲,"임신 30주 - 횡성 청태산 치유의 숲, 숲태교 다녀오기 (산림청 무료 프로그램) : 네이버 블로그",M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,이천시,장호원읍,"소형SUV/CUV (티볼리, QM3 등)"
치유의숲,"임신 30주 - 횡성 청태산 치유의 숲, 숲태교 다녀오기 (산림청 무료 프로그램) : 네이버 블로그",M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,이천시,장호원읍,"소형SUV/CUV (티볼리, QM3 등)"
치유의숲,산림청 > 휴양복지 > 산림치유 > 치유의 숲 > 숲태교 프로그램 예약,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,이천시,장호원읍,"소형SUV/CUV (티볼리, QM3 등)"
치유의숲,산림청 > 휴양복지 > 산림치유 > 치유의 숲 > 치유의 숲 소개,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,이천시,장호원읍,"소형SUV/CUV (티볼리, QM3 등)"
치유의숲,산림청 > 휴양복지 > 산림치유 > 치유의 숲 > 숲태교 프로그램 예약,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,이천시,장호원읍,"소형SUV/CUV (티볼리, QM3 등)"
치유의숲,산림청 > 휴양복지 > 산림치유 > 치유의 숲 > 숲태교 프로그램 예약,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,이천시,장호원읍,"소형SUV/CUV (티볼리, QM3 등)"
치유의숲,산림청 > 휴양복지 > 산림치유 > 치유의 숲 > 숲태교 프로그램 예약,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,이천시,장호원읍,"소형SUV/CUV (티볼리, QM3 등)"
치유의숲,"산림청, 국공립 치유의 숲 등 22곳서 숲태교 서비스 제공 - No.1 육아신문 베이비뉴스",M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,이천시,장호원읍,"소형SUV/CUV (티볼리, QM3 등)"
산림치유원,영주 국립산림치유원 숲 체험 프로그램 등산 힐링캠프,F,3,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,동작구,상도4동,
산림치유원,국립 산림 치유원 데크로드,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,아니오,          ,아파트/ 주상복합,경기,의정부시,녹양동,"MPV (카니발, 올란도, 피카소급, 오딧세이 등)"
산림치유원,국립산림치유원 1박2일 팸투어 힐링♥,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,아니오,          ,아파트/ 주상복합,대구,북구,칠성동2가,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
산림치유원,영주 이야기 6. 산림치유원 다스림 데크로드,M,3,,,      ,          ,,서울,강서구,화곡4동,
산림치유원,경북 영주 가볼만한곳 국립산림치유원 먹었던 밥 네 끼 / 두 그릇은 기본,F,5,,,      ,          ,,서울,서대문구,연희동,
산림치유원,<국립산림치유원 제1차 산림치유 콜로키움 후기> : 풍기역에서 산림치유원 걸어가기,M,4,"생산/노무직 (생산감독, 경비원, 공장근로자)",200~299만원,예    ,자녀 있음 ,단독주택,인천,부평구,삼산1동,
산림치유원,[181206] 국립산림치유원(#다스림),F,4,,,      ,          ,,대전,중구,산성동,
산림치유원,국립산림치유원에서 치유를 경험하다,F,3,"교직 (교사, 유치원교사, 학원강사)",800~899만원,아니오,          ,아파트/ 주상복합,대구,북구,학정동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
산림치유원,국립 산림 치유원 데크로드,F,2,"학생 (초중고학생, 대학생, 대학원생)",100만원 미만,아니오,          ,기타 ,강원,춘천시,효자동,
산림치유원,[영주가볼만한곳] 영주 국립산림치유원,M,3,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,부천시 원미구,심곡2동,
산림치유원,국립산림치유원에서 맞이한 행복한 추석 연휴,F,4,"판매직 (상점점원, 보험설계사, 노점상)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,충남,태안군,태안읍,"경차 (모닝, 스파크 등)"
산림치유원,지리산 덕유산 산림치유원 조성 MOU(업무협약)체결,F,4,"판매직 (상점점원, 보험설계사, 노점상)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,충남,태안군,태안읍,"경차 (모닝, 스파크 등)"
