치유원,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
산림치유원,조달청 나라장터 여행상품 영주 국립산림치유원(2018 가을여행주간),M,2,"학생 (초중고학생, 대학생, 대학원생)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,강원,강릉시,내곡동,
치유의숲,[주간정책노트] “치유의 숲에서 아토피 이겨내요” - 대한민국 정책브리핑 | 뉴스 | 정책뉴스,M,4,"자영업 (도소매업, 숙박업, 미용업)",200~299만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,의정부시,호원동,
산림치유원,해라이트-국립산림치유원,F,3,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,부평구,산곡2동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림치유원,"영주 국립산림치유원,홍천 힐리언스 선마을~나의 웰니스 라이프, 나의 웰니스 여행, My Wellness Life",F,3,,,      ,          ,,충남,서산시,지곡면,
산림치유원,이낙연 국무총리 경북 영주시노인복지관 소수서원 국립산림치유원 웰니스 관광,M,5,,,      ,          ,,인천,계양구,계산1동,
산림치유원,영주여행 산림치유원에서의하룻밤,M,5,,,      ,          ,,인천,계양구,계산1동,
산림치유원,#송현초 #가족캠프 #영주산림치유원,M,3,기타 ,400~499만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,부천시 오정구,고강본동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
산림치유원,영주여행 산림치유원에서의하룻밤,F,4,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,수원시 장안구,정자동,
산림치유원,"[웰니스관광서포터즈] 힐링과 치유의 중심지, 국립산림치유원 프로그램 안내 (2) : 데크로드 / 주치마을",M,4,,,      ,          ,,서울,서초구,양재1동,
산림치유원,국립산림치유원에서 건강치유체험하기,F,5,,,      ,          ,,서울,송파구,잠실3동,
산림치유원,국립산림치유원 따라 서원 여행,F,4,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,금천구,시흥4동,
산림치유원,국립 산림 치유원 데크로드,F,5,,,      ,          ,,대전,대덕구,송촌동,
산림치유원,영주 국립산림치유원에서 제대로 힐링하세요!,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,아니오,          ,아파트/ 주상복합,대구,북구,칠성동2가,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
산림치유원,국립산림치유원 영주 소백산으로 gfa 대가대 치유및 복지원예사과정에서 견학을 다녀왔어요.,F,4,,,      ,          ,,대전,중구,산성동,
산림치유원,"국립산림치유원, 다스림 데크로드 유아숲체험 현장",F,2,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,아니오,          ,오피스텔,서울,관악구,신림동,
산림치유원,"[복권기금이야기] 기금투어, 국립산림치유원 숲 체험 캠프",F,5,"사무직 (일반사무직, 공무원, 직업군인)",800~899만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,중랑구,망우본동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
산림치유원,국립산림치유원 마실치유숲길,M,4,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,예    ,자녀 없음 ,단독주택,서울,강북구,번2동,
산림치유원,"국립산림치유원, 다스림 데크로드 유아숲체험 현장",F,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,노원구,상계8동,
산림치유원,국립산림치유원 마실치유숲길(다스림 데크로드),F,2,"학생 (초중고학생, 대학생, 대학원생)",100만원 미만,아니오,          ,기타 ,강원,춘천시,효자동,
산림치유원,"국립산림치유원, 웰니스관광 2회 연속선정",M,2,"학생 (초중고학생, 대학생, 대학원생)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,강원,강릉시,내곡동,
산림치유원,국립산림치유원_문필마을 주변,M,2,"학생 (초중고학생, 대학생, 대학원생)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,강원,강릉시,내곡동,
산림치유원,국립산림치유원 마실치유숲길,F,3,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,부평구,산곡2동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림치유원,영주여행 무섬마을 산림치유원여행,F,5,,,      ,          ,,경북,포항시 북구,두호동,
산림치유원,국립산림치유원_문필마을 주변,M,3,,,      ,          ,,서울,서초구,방배3동,
산림치유원,20180908 영주 국립산림치유원의 야생화,F,2,,,      ,          ,,경기,화성시,봉담읍,
산림치유원,영주 국립산림치유원,F,2,,,      ,          ,,경기,화성시,봉담읍,
산림치유원,이낙연 국무총리 경북 영주시노인복지관 소수서원 국립산림치유원 웰니스 관광,M,5,,,      ,          ,,서울,중랑구,묵2동,
산림치유원,국립산림치유원,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",600~699만원,예    ,자녀 없음 ,아파트/ 주상복합,부산,기장군,정관면,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
산림치유원,지덕권 산림치유원 등 4대 국가사업 본격 추진,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",600~699만원,예    ,자녀 없음 ,아파트/ 주상복합,부산,기장군,정관면,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
산림치유원,국립 지덕권산림치유원 조성 본격 착수 - 전라북도 주간 소식,F,4,,,      ,          ,,서울,강남구,압구정동,
산림치유원,국립산림치유원 마실치유숲길,F,2,,,      ,          ,,경기,평택시,팽성읍,
산림치유원,영주여행 무섬마을 산림치유원여행,F,3,,,      ,          ,,광주,북구,운암동,
산림치유원,국립산림치유원 1박2일 팸투어 힐링♥,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,부천시 소사구,계수동,
산림치유원,국립 지덕권산림치유원 조상 본격 착수 - 전라북도 주간 소식,F,5,"서비스직 (요식업, 숙박업, 미용실종업원)",300~399만원,아니오,          ,아파트/ 주상복합,인천,중구,중산동,
산림치유원,국립산림치유원,F,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,제주,제주시,조천읍,
산림치유원,경북영주 가볼만한곳 국립산림치유원 이용후기,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,구로구,개봉1동,
산림치유원,국립산림치유원 1박2일 팸투어 힐링♥,F,4,,,      ,          ,,경기,부천시 원미구,상동,
산림치유원,영주 국립산림치유원 숲 체험 프로그램 등산 힐링캠프,F,4,"주부 (전업주부, 파트타임 근무 주부)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,서울,서초구,반포본동,"스포츠 (제네시스 쿠페, BMW M, 벤츠 AMG 등)"
다스림,"중소기업뉴스 모바일 사이트, [조윤제의 인문경영학]‘마음 다스림’이 만사의 근본",F,5,"서비스직 (요식업, 숙박업, 미용실종업원)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,대구,수성구,매호동,
다스림,"중소기업뉴스 모바일 사이트, [조윤제의 인문경영학]‘마음 다스림’이 만사의 근본",F,5,"서비스직 (요식업, 숙박업, 미용실종업원)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,대구,수성구,매호동,
산림치유원,영주 국립산림치유원 숲 체험 프로그램 등산 힐링캠프 : 네이버 블로그,F,3,"교직 (교사, 유치원교사, 학원강사)",100~199만원,예    ,자녀 없음 ,아파트/ 주상복합,대구,달서구,대곡동,
산림치유원,영주 국립산림치유원 숲 체험 프로그램 등산 힐링캠프 : 네이버 블로그,F,3,"교직 (교사, 유치원교사, 학원강사)",100~199만원,예    ,자녀 없음 ,아파트/ 주상복합,대구,달서구,대곡동,
산림치유원,국립산림치유원 1박2일 팸투어 힐링♥,M,4,,,      ,          ,,서울,노원구,월계1동,
산림치유원,국립 지덕권산림치유원 조상 본격 착수 - 전라북도 주간 소식,F,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,단독주택,서울,구로구,개봉1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림치유원,국립산림치유원 1박2일 팸투어 힐링♥,M,3,"사무직 (일반사무직, 공무원, 직업군인)",700~799만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,동작구,신대방2동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
산림치유원,영주여행 산림치유원에서의하룻밤,M,4,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,예    ,자녀 있음 ,단독주택,서울,노원구,공릉동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
산림치유원,영주 국립산림치유원에서 제대로 힐링하세요!,F,3,,,      ,          ,,서울,중랑구,면목동,
산림치유원,영주여행 무섬마을 산림치유원여행,F,5,"전문직 (의사, 판검사, 예술가, 종교인)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,고양시 일산동구,중산동,
산림치유원,"국립산림치유원, 웰니스관광 2회 연속선정",M,5,"전문직 (의사, 판검사, 예술가, 종교인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,북구,화명1동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산림치유원,영주 국립산림치유원 숲 체험 프로그램 등산 힐링캠프,F,3,,,      ,          ,,부산,동래구,사직3동,
산림치유원,국립 산림 치유원 데크로드,F,4,"주부 (전업주부, 파트타임 근무 주부)",100~199만원,아니오,          ,단독주택,경북,의성군,금성면,
산림치유원,조달청 나라장터 여행상품 영주 국립산림치유원(2018 가을여행주간),F,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,아파트/ 주상복합,서울,마포구,성산동,
산림치유원,<국립산림치유원 제1차 산림치유 콜로키움 후기> : 풍기역에서 산림치유원 걸어가기,F,4,"교직 (교사, 유치원교사, 학원강사)",700~799만원,예    ,자녀 있음 ,단독주택,강원,원주시,우산동,"경차 (모닝, 스파크 등)"
산림치유원,지리산 덕유산 산림치유원 조성 MOU(업무협약)체결,F,5,,,      ,          ,,경기,용인시 처인구,역북동,
산림치유원,"국립산림치유원, 웰니스관광 2회 연속선정",F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 기흥구,중동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림치유원,국립산림치유원_문필마을 주변,F,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,강서구,내발산동,
산림치유원,국립산림치유원 1박2일 팸투어 힐링♥,F,5,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,동구,송현1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림치유원,[영주가볼만한곳] 영주 국립산림치유원,F,2,,,      ,          ,,인천,남동구,간석1동,
산림치유원,국립산림치유원 마실치유숲길,F,2,,,      ,          ,,,,,
산림치유원,20180908 영주 국립산림치유원의 야생화,M,4,"생산/노무직 (생산감독, 경비원, 공장근로자)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,김포시,마산동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산림치유원,영주여행 산림치유원에서의하룻밤,M,4,"생산/노무직 (생산감독, 경비원, 공장근로자)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,김포시,마산동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산림치유원,[영주가볼만한곳] 영주 국립산림치유원,M,4,,,      ,          ,,서울,관악구,신림동,
산림치유원,지덕권 산림치유원 등 4대 국가사업 본격 추진,F,3,,,      ,          ,,경기,평택시,안중읍,
산림치유원,국립 지덕권산림치유원 조상 본격 착수 - 전라북도 주간 소식,F,4,,,      ,          ,,서울,성북구,장위1동,
산림치유원,영주 국립산림치유원 숲 체험 프로그램 등산 힐링캠프,F,3,,,      ,          ,,서울,영등포구,도림동,
산림치유원,"영주 국립산림치유원,홍천 힐리언스 선마을~나의 웰니스 라이프, 나의 웰니스 여행, My Wellness Life",F,3,"전문직 (의사, 판검사, 예술가, 종교인)",700~799만원,아니오,          ,아파트/ 주상복합,대구,달서구,용산1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림치유원,국립 산림 치유원 데크로드,F,5,,,      ,          ,,서울,성북구,종암동,
산림치유원,경북 영주 가볼만한곳 국립산림치유원 먹었던 밥 네 끼 / 두 그릇은 기본,F,3,,,      ,          ,,서울,노원구,상계8동,
산림치유원,국립산림치유원에서 맞이한 행복한 추석 연휴,M,3,,,      ,          ,,충남,아산시,배방읍,
산림치유원,[181206] 국립산림치유원(#다스림),F,3,,,      ,          ,,서울,양천구,목3동,
산림치유원,국립 지덕권산림치유원 조상 본격 착수 - 전라북도 주간 소식,M,3,,,      ,          ,,강원,속초시,노학동,
치유의숲,문화 이모저모 | 조선왕릉 속 치유의 숲길 개방,M,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",100만원 미만,아니오,          ,연립주택/ 다세대/ 빌라,서울,성북구,석관동,"경차 (모닝, 스파크 등)"
치유의숲,조선왕릉 속 치유의 숲길 개방 | 다음 뉴스,M,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",100만원 미만,아니오,          ,연립주택/ 다세대/ 빌라,서울,성북구,석관동,"경차 (모닝, 스파크 등)"
산림치유원,경북영주 가볼만한곳 국립산림치유원 이용후기,F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,수원시 팔달구,화서동,
산림치유원,해라이트-국립산림치유원,M,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",300~399만원,아니오,          ,기타 ,인천,연수구,연수동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림치유원,국립산림치유원,M,3,,,      ,          ,,충북,청주시 흥덕구,가경동,
산림치유원,국립 지덕권산림치유원 조성 본격 착수 - 전라북도 주간 소식,F,3,"교직 (교사, 유치원교사, 학원강사)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,평택시,이충동,
산림치유원,20180908 영주 국립산림치유원의 야생화,F,3,,,      ,          ,,서울,성북구,동선동3가,
산림치유원,해라이트-국립산림치유원,F,3,,,      ,          ,,서울,성북구,동선동3가,
산림치유원,#송현초 #가족캠프 #영주산림치유원,M,3,기타 ,600~699만원,아니오,          ,아파트/ 주상복합,부산,수영구,광안2동,"경차 (모닝, 스파크 등)"
산림치유원,조달청 나라장터 여행상품 영주 국립산림치유원(2018 가을여행주간),F,5,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,북구,금곡동,
산림치유원,"[웰니스관광서포터즈] 힐링과 치유의 중심지, 국립산림치유원 프로그램 안내 (2) : 데크로드 / 주치마을",F,5,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,북구,금곡동,
산림치유원,국립산림치유원에서 맞이한 행복한 추석 연휴,F,4,"판매직 (상점점원, 보험설계사, 노점상)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,대구,동구,신천1.2동,
산림치유원,20180908 영주 국립산림치유원의 야생화,M,5,,,      ,          ,,서울,강서구,화곡동,
산림치유원,[181206] 국립산림치유원(#다스림),F,2,"학생 (초중고학생, 대학생, 대학원생)","1,000만원 이상",아니오,          ,아파트/ 주상복합,광주,동구,동명동,
산림치유원,영주여행 무섬마을 산림치유원여행,M,2,,,      ,          ,,경기,용인시 수지구,죽전1동,
산림치유원,영주 국립산림치유원 숲 체험 프로그램 등산 힐링캠프,M,2,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,인천,남구,주안1동,
산림치유원,영주 국립산림치유원,F,3,,,      ,          ,,대전,서구,둔산동,
산림치유원,국립산림치유원에서 건강치유체험하기,F,3,,,      ,          ,,경기,평택시,안중읍,
산림치유원,국립산림치유원 마실치유숲길(다스림 데크로드),M,4,"교직 (교사, 유치원교사, 학원강사)",300~399만원,아니오,          ,아파트/ 주상복합,대전,서구,가수원동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
산림치유원,국립산림치유원에서 건강치유체험하기,F,4,,,      ,          ,,서울,성북구,장위1동,
산림치유원,이낙연 국무총리 경북 영주시노인복지관 소수서원 국립산림치유원 웰니스 관광,F,4,,,      ,          ,,서울,성북구,장위1동,
산림치유원,국립산림치유원 영주 소백산으로 gfa 대가대 치유및 복지원예사과정에서 견학을 다녀왔어요.,F,4,,,      ,          ,,대구,동구,율하동,
산림치유원,국립산림치유원에서 치유를 경험하다,F,4,,,      ,          ,,대구,동구,율하동,
산림치유원,국립산림치유원 따라 서원 여행,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",700~799만원,아니오,          ,아파트/ 주상복합,대구,달서구,용산1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림치유원,"[웰니스관광서포터즈] 힐링과 치유의 중심지, 국립산림치유원 프로그램 안내 (2) : 데크로드 / 주치마을",F,2,,,      ,          ,,서울,동작구,신대방동,
산림치유원,국립산림치유원 1박2일 팸투어 힐링♥,M,5,"전문직 (의사, 판검사, 예술가, 종교인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,북구,화명1동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산림치유원,국립산림치유원 따라 서원 여행,F,2,,,      ,          ,,경남,진주시,초전동,
산림치유원,국립산림치유원 영주 소백산으로 gfa 대가대 치유및 복지원예사과정에서 견학을 다녀왔어요.,M,2,,,      ,          ,,서울,광진구,구의1동,
산림치유원,국립 산림 치유원 데크로드,F,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경북,상주시,신봉동,
산림치유원,영주 국립산림치유원,F,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경북,상주시,신봉동,
산림치유원,경북 영주 가볼만한곳 국립산림치유원 먹었던 밥 네 끼 / 두 그릇은 기본,F,2,,,      ,          ,,서울,동작구,신대방2동,
산림치유원,"국립산림치유원 고도원 원장님과의 만남, 한국산림복지진흥원 블로그기자단 팸투어 #1",F,5,"주부 (전업주부, 파트타임 근무 주부)",800~899만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강남구,삼성1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림치유원,"국립산림치유원, 다스림 데크로드 유아숲체험 현장",F,3,,,      ,          ,,서울,양천구,목3동,
산림치유원,국립 지덕권산림치유원 조성 본격 착수 - 전라북도 주간 소식,M,3,,,      ,          ,,강원,속초시,노학동,
산림치유원,"[복권기금이야기] 기금투어, 국립산림치유원 숲 체험 캠프",F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,수원시 팔달구,화서동,
산림치유원,국립산림치유원 마실치유숲길,F,3,,,      ,          ,,서울,성북구,동선동3가,
산림치유원,국립산림치유원 따라 서원 여행,F,4,"서비스직 (요식업, 숙박업, 미용실종업원)",900~999만원,아니오,          ,아파트/ 주상복합,경기,안산시 상록구,이동,
산림치유원,영주 이야기 6. 산림치유원 다스림 데크로드,F,2,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 없음 ,아파트/ 주상복합,울산,북구,산하동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림치유원,조달청 나라장터 여행상품 영주 국립산림치유원(2018 가을여행주간),F,3,"주부 (전업주부, 파트타임 근무 주부)",100만원 미만,예    ,자녀 있음 ,아파트/ 주상복합,서울,성동구,옥수동,
산림치유원,"국립산림치유원, 웰니스관광 2회 연속선정",F,5,"주부 (전업주부, 파트타임 근무 주부)",900~999만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,송파구,잠실본동,
산림치유원,이낙연 국무총리 경북 영주시노인복지관 소수서원 국립산림치유원 웰니스 관광,M,4,,,      ,          ,,경기,의왕시,내손동,
산림치유원,국립 지덕권산림치유원 조성 본격 착수 - 전라북도 주간 소식,F,4,,,      ,          ,,부산,사하구,괴정3동,
산림치유원,#송현초 #가족캠프 #영주산림치유원,M,2,,,      ,          ,,경북,경산시,하양읍,
산림치유원,영주 이야기 6. 산림치유원 다스림 데크로드,F,2,,,      ,          ,,충남,예산군,예산읍,
산림치유원,국립산림치유원,F,4,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,강북구,번2동,
산림치유원,지덕권 산림치유원 등 4대 국가사업 본격 추진,M,5,,,      ,          ,,서울,마포구,동교동,
산림치유원,[181206] 국립산림치유원(#다스림),M,4,,,      ,          ,,경기,김포시,마산동,
치유의숲,황산숲공원 치유의 숲 조성요청 회신의 건 - 연합회 소식! - 미사강변도시 연합카페,M,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,하남시,선동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산림치유원,경북 영주 가볼만한곳 국립산림치유원 먹었던 밥 네 끼 / 두 그릇은 기본,M,5,"자영업 (도소매업, 숙박업, 미용업)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강남구,도곡2동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
산림치유원,국립산림치유원 마실치유숲길(다스림 데크로드),M,4,,,      ,          ,,서울,은평구,갈현1동,
산림치유원,해라이트-국립산림치유원,F,5,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,광주,광산구,소촌동,"경차 (모닝, 스파크 등)"
산림치유원,조달청 나라장터 여행상품 영주 국립산림치유원(2018 가을여행주간),F,4,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,파주시,광탄면,"경차 (모닝, 스파크 등)"
산림치유원,<국립산림치유원 제1차 산림치유 콜로키움 후기> : 풍기역에서 산림치유원 걸어가기,F,3,"사무직 (일반사무직, 공무원, 직업군인)",800~899만원,예    ,자녀 있음 ,단독주택,서울,송파구,잠실동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
산림치유원,영주여행 무섬마을 산림치유원여행,F,4,"전문직 (의사, 판검사, 예술가, 종교인)",900~999만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강동구,명일1동,
산림치유원,영주여행 산림치유원에서의하룻밤,F,4,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경남,양산시,동면,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림치유원,[영주가볼만한곳] 영주 국립산림치유원,F,3,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,부천시 소사구,범박동,
산림치유원,"[웰니스관광서포터즈] 힐링과 치유의 중심지, 국립산림치유원 프로그램 안내 (2) : 데크로드 / 주치마을",M,2,"학생 (초중고학생, 대학생, 대학원생)",400~499만원,아니오,          ,아파트/ 주상복합,서울,성동구,성수1가1동,
산림치유원,국립 지덕권산림치유원 조상 본격 착수 - 전라북도 주간 소식,M,5,"생산/노무직 (생산감독, 경비원, 공장근로자)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,평택시,용이동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
산림치유원,국립산림치유원에서 치유를 경험하다,F,4,기타 ,300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,성남시 수정구,양지동,
산림치유원,경북영주 가볼만한곳 국립산림치유원 이용후기,M,3,,,      ,          ,,경기,안산시 상록구,사1동,
산림치유원,조달청 나라장터 여행상품 영주 국립산림치유원(2018 가을여행주간),F,5,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,시흥시,정왕3동,
산림치유원,국립 산림 치유원 데크로드,F,2,,,      ,          ,,서울,금천구,시흥동,
산림치유원,[181206] 국립산림치유원(#다스림),F,3,,,      ,          ,,인천,동구,송현동,
